"행정구역(시)별","산업별",2015,2015,2015,2015,2015
"행정구역(시)별","산업별",사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명)
"합계","합계",55155,23836,250000,132389,117611
"합계","농업, 임업 및 어업",396,-,3556,-,-
"합계","광업",16,-,208,-,-
"합계","제조업",2209,-,11123,-,-
"합계","전기, 가스, 증기 및 수도사업",29,-,1063,-,-
"합계","하수폐기물 처리, 원료재생 및 환경복원업",90,-,818,-,-
"합계","건설업",2313,-,21234,-,-
"합계","도매 및 소매업",14108,-,41473,-,-
"합계","운수업",5207,-,13514,-,-
"합계","숙박 및 음식점업",14526,-,47593,-,-
"합계","출판, 영상,방송통신 및 정보서비스업",312,-,4442,-,-
"합계","금융 및 보험업",644,-,9233,-,-
"합계","부동산 및 임대업",1743,-,5235,-,-
"합계","전문, 과학 및 기술서비스업",971,-,6052,-,-
"합계","사업 시설관리 및 사업 지원 서비스",1214,-,10396,-,-
"합계","공공행정, 국방 및 사회보장행정",208,-,10193,-,-
"합계","교육 서비스업",2544,-,20170,-,-
"합계","보건업 및 사회복지 서비스업",1763,-,20234,-,-
"합계","예술, 스포츠 및 여가 관련 서비스업",1466,-,10885,-,-
"합계","협회 및 단체, 수리 및 기타개인서비스업",5396,-,12578,-,-
"제주시","합계",40917,17275,190910,101822,89088
"제주시","농업, 임업 및 어업",189,-,1331,-,-
"제주시","광업",10,-,151,-,-
"제주시","제조업",1741,-,8814,-,-
"제주시","전기, 가스, 증기 및 수도사업",20,-,820,-,-
"제주시","하수폐기물 처리, 원료재생 및 환경복원업",62,-,546,-,-
"제주시","건설업",1913,-,18086,-,-
"제주시","도매 및 소매업",10337,-,31476,-,-
"제주시","운수업",4062,-,11213,-,-
"제주시","숙박 및 음식점업",9956,-,32359,-,-
"제주시","출판, 영상,방송통신 및 정보서비스업",283,-,4227,-,-
"제주시","금융 및 보험업",481,-,7139,-,-
"제주시","부동산 및 임대업",1409,-,4474,-,-
"제주시","전문, 과학 및 기술서비스업",855,-,5029,-,-
"제주시","사업 시설관리 및 사업 지원 서비스",1020,-,9553,-,-
"제주시","공공행정, 국방 및 사회보장행정",135,-,7577,-,-
"제주시","교육 서비스업",1997,-,15441,-,-
"제주시","보건업 및 사회복지 서비스업",1340,-,15868,-,-
"제주시","예술, 스포츠 및 여가 관련 서비스업",1054,-,6963,-,-
"제주시","협회 및 단체, 수리 및 기타개인서비스업",4053,-,9843,-,-
"서귀포시","합계",14238,6561,59090,30567,28523
"서귀포시","농업, 임업 및 어업",207,-,2225,-,-
"서귀포시","광업",6,-,57,-,-
"서귀포시","제조업",468,-,2309,-,-
"서귀포시","전기, 가스, 증기 및 수도사업",9,-,243,-,-
"서귀포시","하수폐기물 처리, 원료재생 및 환경복원업",28,-,272,-,-
"서귀포시","건설업",400,-,3148,-,-
"서귀포시","도매 및 소매업",3771,-,9997,-,-
"서귀포시","운수업",1145,-,2301,-,-
"서귀포시","숙박 및 음식점업",4570,-,15234,-,-
"서귀포시","출판, 영상,방송통신 및 정보서비스업",29,-,215,-,-
"서귀포시","금융 및 보험업",163,-,2094,-,-
"서귀포시","부동산 및 임대업",334,-,761,-,-
"서귀포시","전문, 과학 및 기술서비스업",116,-,1023,-,-
"서귀포시","사업 시설관리 및 사업 지원 서비스",194,-,843,-,-
"서귀포시","공공행정, 국방 및 사회보장행정",73,-,2616,-,-
"서귀포시","교육 서비스업",547,-,4729,-,-
"서귀포시","보건업 및 사회복지 서비스업",423,-,4366,-,-
"서귀포시","예술, 스포츠 및 여가 관련 서비스업",412,-,3922,-,-
"서귀포시","협회 및 단체, 수리 및 기타개인서비스업",1343,-,2735,-,-
