행정구역(시)별,산업별,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017
행정구역(시)별,산업별,사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명)
제주시,"농업, 임업 및 어업",166,-,1344,-,-,152,-,959,-,-,163,-,1142,-,-,188,-,1296,-,-,189,-,1331,-,-,209,-,1382,-,-,191,30,1167,850,317
제주시,광업,13,-,192,-,-,11,-,157,-,-,10,-,164,-,-,9,-,139,-,-,10,-,151,-,-,11,-,169,-,-,11,4,168,150,18
제주시,제조업,1432,-,6453,-,-,1509,-,6965,-,-,1585,-,7279,-,-,1684,-,7877,-,-,1741,-,8814,-,-,1736,-,8756,-,-,1859,564,9124,6113,3011
제주시,"전기, 가스, 증기 및 수도사업",20,-,636,-,-,19,-,687,-,-,25,-,829,-,-,23,-,900,-,-,20,-,820,-,-,23,-,821,-,-,20,1,762,668,94
제주시,"하수폐기물 처리, 원료재생 및 환경복원업",45,-,476,-,-,44,-,512,-,-,42,-,490,-,-,59,-,562,-,-,62,-,546,-,-,72,-,671,-,-,79,10,781,645,136
제주시,건설업,1120,-,12023,-,-,1213,-,12077,-,-,1406,-,13738,-,-,1673,-,14556,-,-,1913,-,18086,-,-,2110,-,19017,-,-,2099,446,18473,15541,2932
제주시,도매 및 소매업,8847,-,26147,-,-,9255,-,27531,-,-,9736,-,29464,-,-,10061,-,30065,-,-,10337,-,31476,-,-,10361,-,31431,-,-,10565,5183,32149,15877,16272
제주시,운수업,4538,-,11210,-,-,4598,-,11027,-,-,4588,-,10377,-,-,4651,-,11042,-,-,4062,-,11213,-,-,4612,-,11978,-,-,4645,220,12207,10634,1573
제주시,숙박 및 음식점업,7932,-,24312,-,-,8310,-,26132,-,-,8862,-,28004,-,-,9444,-,30040,-,-,9956,-,32359,-,-,10604,-,33786,-,-,11593,6936,35914,13359,22555
제주시,"출판, 영상,방송통신 및 정보서비스업",213,-,3567,-,-,227,-,3574,-,-,248,-,3722,-,-,273,-,4178,-,-,283,-,4227,-,-,306,-,4376,-,-,293,65,4164,2752,1412
