"행정구역(시)별","산업별",2017,2017,2017,2017,2017
"행정구역(시)별","산업별",사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남성종사자수 (명),여성종사자수 (명)
"합계","합계",60063,26045,262747,137962,124785
"합계","농업, 임업 및 어업",359,57,2750,1953,797
"합계","광업",13,5,190,169,21
"합계","제조업",2418,717,11672,7938,3734
"합계","전기, 가스, 증기 및 수도사업",31,2,1036,911,125
"합계","하수폐기물 처리, 원료재생 및 환경복원업",112,18,1096,916,180
"합계","건설업",2534,551,21872,18453,3419
"합계","도매 및 소매업",14383,7113,42840,21272,21568
"합계","운수업",5810,262,14799,12954,1845
"합계","숙박 및 음식점업",17006,10152,53491,20322,33169
"합계","출판, 영상,방송통신 및 정보서비스업",325,77,4429,2941,1488
"합계","금융 및 보험업",657,89,8168,3768,4400
"합계","부동산 및 임대업",1991,596,5569,3580,1989
"합계","전문, 과학 및 기술서비스업",1119,172,6597,4293,2304
"합계","사업 시설관리 및 사업 지원 서비스",1598,501,11994,6153,5841
"합계","공공행정, 국방 및 사회보장행정",209,11,12268,8452,3816
"합계","교육 서비스업",2584,1492,19577,7815,11762
"합계","보건업 및 사회복지 서비스업",1898,886,22451,4726,17725
"합계","예술, 스포츠 및 여가 관련 서비스업",1668,661,10241,5483,4758
"합계","협회 및 단체, 수리 및 기타개인서비스업",5348,2683,11707,5863,5844
"제주시","합계",44601,18972,198440,104921,93519
"제주시","농업, 임업 및 어업",191,30,1167,850,317
"제주시","광업",11,4,168,150,18
"제주시","제조업",1859,564,9124,6113,3011
"제주시","전기, 가스, 증기 및 수도사업",20,1,762,668,94
"제주시","하수폐기물 처리, 원료재생 및 환경복원업",79,10,781,645,136
"제주시","건설업",2099,446,18473,15541,2932
"제주시","도매 및 소매업",10565,5183,32149,15877,16272
"제주시","운수업",4645,220,12207,10634,1573
"제주시","숙박 및 음식점업",11593,6936,35914,13359,22555
"제주시","출판, 영상,방송통신 및 정보서비스업",293,65,4164,2752,1412
"제주시","금융 및 보험업",492,74,6073,2636,3437
"제주시","부동산 및 임대업",1546,482,3374,2215,1159
"제주시","전문, 과학 및 기술서비스업",976,151,5526,3585,1941
"제주시","사업 시설관리 및 사업 지원 서비스",1354,396,10826,5580,5246
"제주시","공공행정, 국방 및 사회보장행정",138,9,9314,6360,2954
"제주시","교육 서비스업",2027,1171,14893,6086,8807
"제주시","보건업 및 사회복지 서비스업",1430,677,17606,3628,13978
"제주시","예술, 스포츠 및 여가 관련 서비스업",1234,501,6759,3665,3094
"제주시","협회 및 단체, 수리 및 기타개인서비스업",4049,2052,9160,4577,4583
"서귀포시","합계",15462,7073,64307,33041,31266
"서귀포시","농업, 임업 및 어업",168,27,1583,1103,480
"서귀포시","광업",2,1,22,19,3
"서귀포시","제조업",559,153,2548,1825,723
"서귀포시","전기, 가스, 증기 및 수도사업",11,1,274,243,31
"서귀포시","하수폐기물 처리, 원료재생 및 환경복원업",33,8,315,271,44
"서귀포시","건설업",435,105,3399,2912,487
"서귀포시","도매 및 소매업",3818,1930,10691,5395,5296
"서귀포시","운수업",1165,42,2592,2320,272
"서귀포시","숙박 및 음식점업",5413,3216,17577,6963,10614
"서귀포시","출판, 영상,방송통신 및 정보서비스업",32,12,265,189,76
"서귀포시","금융 및 보험업",165,15,2095,1132,963
"서귀포시","부동산 및 임대업",445,114,2195,1365,830
"서귀포시","전문, 과학 및 기술서비스업",143,21,1071,708,363
"서귀포시","사업 시설관리 및 사업 지원 서비스",244,105,1168,573,595
"서귀포시","공공행정, 국방 및 사회보장행정",71,2,2954,2092,862
"서귀포시","교육 서비스업",557,321,4684,1729,2955
"서귀포시","보건업 및 사회복지 서비스업",468,209,4845,1098,3747
"서귀포시","예술, 스포츠 및 여가 관련 서비스업",434,160,3482,1818,1664
"서귀포시","협회 및 단체, 수리 및 기타개인서비스업",1299,631,2547,1286,1261
